service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1-20190106,1,1,1,1,1,0,0,20190106,20190504
3-20190106,0,0,0,0,0,1,0,20190106,20190504
4-20190106,0,0,0,0,0,0,1,20190106,20190504
6-20190106,0,0,0,0,0,0,0,20190106,20190504
1401-20190106,0,0,0,0,0,0,0,20190106,20190504
1601-20190106,0,0,0,0,0,0,0,20190106,20190504
1,1,1,1,1,1,0,0,20180902,20190105
3,0,0,0,0,0,1,0,20180902,20190105
4,0,0,0,0,0,0,1,20180902,20190105
6,0,0,0,0,0,0,0,20180902,20190105
1601,0,0,0,0,0,0,0,20180902,20190105
1401,0,0,0,0,0,0,0,20180902,20190105
