service_id,date,exception_type
1401-20190106,20190107,1
1401-20190106,20190108,1
1401-20190106,20190109,1
1401-20190106,20190110,1
1401-20190106,20190111,1
1401-20190106,20190114,1
1401-20190106,20190115,1
1401-20190106,20190116,1
1401-20190106,20190117,1
1401-20190106,20190118,1
1601-20190106,20190121,1
1601-20190106,20190122,1
1601-20190106,20190123,1
1601-20190106,20190124,1
1601-20190106,20190125,1
1401-20190106,20190128,1
1401-20190106,20190129,1
1401-20190106,20190130,1
1401-20190106,20190131,1
1401-20190106,20190201,1
1401-20190106,20190204,1
1401-20190106,20190205,1
1401-20190106,20190206,1
1401-20190106,20190207,1
1401-20190106,20190208,1
1401-20190106,20190211,1
1401-20190106,20190212,1
1401-20190106,20190213,1
1401-20190106,20190214,1
1401-20190106,20190215,1
1401-20190106,20190219,1
1401-20190106,20190220,1
1401-20190106,20190221,1
1401-20190106,20190222,1
1401-20190106,20190225,1
1401-20190106,20190226,1
1401-20190106,20190227,1
1401-20190106,20190228,1
1401-20190106,20190301,1
1401-20190106,20190304,1
1401-20190106,20190305,1
1401-20190106,20190306,1
1401-20190106,20190307,1
1601-20190106,20190308,1
1401-20190106,20190311,1
1401-20190106,20190312,1
1401-20190106,20190313,1
1401-20190106,20190314,1
1401-20190106,20190315,1
1401-20190106,20190318,1
1401-20190106,20190319,1
1401-20190106,20190320,1
1601-20190106,20190321,1
1601-20190106,20190322,1
1601-20190106,20190325,1
1601-20190106,20190326,1
1601-20190106,20190327,1
1601-20190106,20190328,1
1601-20190106,20190329,1
1401-20190106,20190401,1
1401-20190106,20190402,1
1401-20190106,20190403,1
1401-20190106,20190404,1
1401-20190106,20190405,1
1401-20190106,20190408,1
1401-20190106,20190409,1
1401-20190106,20190410,1
1401-20190106,20190411,1
1401-20190106,20190412,1
1401-20190106,20190415,1
1401-20190106,20190416,1
1401-20190106,20190417,1
1401-20190106,20190418,1
1401-20190106,20190419,1
1401-20190106,20190422,1
1401-20190106,20190423,1
1401-20190106,20190424,1
1401-20190106,20190425,1
1601-20190106,20190426,1
1401-20190106,20190429,1
1401-20190106,20190430,1
1401-20190106,20190501,1
1401-20190106,20190502,1
1401-20190106,20190503,1
1401,20180904,1
1401,20180905,1
1401,20180906,1
1401,20180907,1
1401,20180910,1
1401,20180911,1
1401,20180912,1
1401,20180913,1
1401,20180914,1
1401,20180917,1
1401,20180918,1
1401,20180919,1
1401,20180920,1
1401,20180921,1
1401,20180924,1
1401,20180925,1
1401,20180926,1
1401,20180927,1
1401,20180928,1
1401,20181001,1
1401,20181002,1
1401,20181003,1
1401,20181004,1
1401,20181005,1
1401,20181008,1
1401,20181009,1
1401,20181010,1
1601,20181011,1
1601,20181012,1
1401,20181015,1
1401,20181016,1
1401,20181017,1
1401,20181018,1
1401,20181019,1
1401,20181022,1
1401,20181023,1
1401,20181024,1
1401,20181025,1
1401,20181026,1
1401,20181029,1
1401,20181030,1
1401,20181031,1
1401,20181101,1
1401,20181102,1
1401,20181105,1
1401,20181106,1
1401,20181107,1
1401,20181108,1
1401,20181109,1
1401,20181113,1
1401,20181114,1
1401,20181115,1
1401,20181116,1
1601,20181119,1
1601,20181120,1
1601,20181121,1
1601,20181123,1
1401,20181126,1
1401,20181127,1
1401,20181128,1
1401,20181129,1
1401,20181130,1
1401,20181203,1
1401,20181204,1
1401,20181205,1
1401,20181206,1
1401,20181207,1
1401,20181210,1
1401,20181211,1
1401,20181212,1
1401,20181213,1
1401,20181214,1
1401,20181217,1
1401,20181218,1
1401,20181219,1
1401,20181220,1
1401,20181221,1
1601,20181224,1
1601,20181226,1
1601,20181227,1
1601,20181228,1
1601,20181231,1
1601,20190102,1
1601,20190103,1
1601,20190104,1
