stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,CiviCent,Civic Center-Salem Library,COMMERCIAL ST SE & LESLIE ST SE,44.935459,-123.042774,,,,,,0
4,ComMadOB,Commercial @ Madrona,COMMERCIAL ST SE & MADRONA AV SE,44.905562,-123.042347,,,,,,0
6,ComWilOB,Commercial @ Wiltsey,COMMERCIAL ST SE & MADRAS ST SE,44.869239,-123.022314,,,,,,0
7,SunNeaOB,Sunnyside @ Neahkahnie,SUNNYSIDE RD SE & NEAHKAHNIE ST SE,44.860453,-123.030679,,,,,,0
9,ComBroIB,Commercial @ Browning,COMMERCIAL ST SE & OAKHILL AV SE,44.899484,-123.038578,,,,,,0
10,ComVisIB,Commercial @ Vista,COMMERCIAL ST SE & VISTA AV SE,44.911653,-123.045011,,,,,,0
11,LibKeaIB,Liberty @ Kearney,LIBERTY ST SE & MISSION ST SE,44.932103,-123.042261,,,,,,0
13,DSt_14th,D St @ 14th,D ST NE & 14TH ST NE,44.945114,-123.019921,,,,,,0
15,LancMark,Lancaster @ Market,LANCASTER DR NE & MARKET ST NE,44.949967,-122.983519,,,,,,0
16,LanDevNB,Lancaster @ Devonshire,LANCASTER DR NE & DEVONSHIRE CT NE,44.96581,-122.983452,,,,,,0
19,CapMarOB,Capitol @ Market,CAPITOL ST NE & GAINES ST NE,44.949122,-123.023105,,,,,,0
25,SumMarIB,Summer @ Market,SUMMER ST NE & GAINES ST NE,44.949605,-123.024925,,,,,,0
28,CheCleOB,Cherry @ Clearview,CHERRY AV NE & HORIZON CT NE,44.981534,-123.023788,,,,,,0
32,Cen13OB,Center @ 13th,CENTER ST NE & UNNAMED ST,44.940011,-123.024286,,,,,,0
33,Cen24OB,Center @ 24th,CENTER ST NE & BOBOLINK DR NE,44.939937,-123.008861,,,,,,0
35,CenConOB,Center @ Concord,CENTER ST NE & LANCASTER DR NE,44.939643,-122.981363,,,,,,0
36,RoyCenOB,Royalty @ Center,ROYALTY DR NE & CENTER ST NE,44.9400007,-122.966626,,,,,,0
38,CenLanNW,Center @ Lancaster,CENTER ST NE & LANCASTER DR NE,44.939779,-122.983875,,,,,,0
39,Cen24IB,Center @ 24th,CENTER ST NE & 24TH ST NE,44.9401,-123.00814,,,,,,0
42,12RurOB,12th @ Rural,12TH ST SE & RURAL AV SE,44.921286,-123.030731,,,,,,0
43,PriMadOB,Pringle @ Madrona,PRINGLE RD SE & MADRONA AV SE,44.90543,-123.026058,,,,,,0
45,SunnBoon,Sunnyside @ Boone,SUNNYSIDE RD SE & UNNAMED ST,44.883156,-123.037005,,,,,,0
46,PriGeoIB,Pringle @ Georgia,PRINGLE RD SE & GEORGIA AV SE,44.905471,-123.0258,,,,,,0
47,13RurIB,13th @ Rural,13TH ST SE & HOYT ST SE,44.921133,-123.029259,,,,,,0
49,25HelmOB,25th @ Helm,25TH ST SE & HELM ST SE,44.923567,-123.010832,,,,,,0
55,25ClaIB,25th @ Claude,25TH ST SE & ADAMS ST SE,44.925409,-123.010587,,,,,,0
59,LibeRock,Liberty @ Rock Creek,LIBERTY RD S & ROCK CREEK DR S,44.876737,-123.061494,,,,,,0
62,BroaFMOB,Broadway @ Fred Meyer (east side),BROADWAY ST NE & SALEM PY NE,44.969089,-123.028336,,,,,,0
63,RivCheOB,River Rd @ Chemawa,RIVER RD N & CHURCHDALE AV N,44.996551,-123.026507,,,,,,0
66,LocWhiOB,Lockhaven @ Kalmia (Whiteaker MS),LOCKHAVEN DR NE & KALMIA DR NE,45.006129,-123.011962,,,,,,0
68,7WallaOB,7th @ Wallace,7TH ST NW & WALLACE RD NW,44.948761,-123.051783,,,,,,0
69,EdgKinOB,Edgewater @ Kingwood,EDGEWATER ST NW & KINGWOOD AV NW,44.93981,-123.060281,,,,,,0
74,GleParOB,Glen Creek @ Parkway,GLEN CREEK RD NW & KINGWOOD DR NW,44.950229,-123.065252,,,,,,0
76,CheSafSB,Chemawa @ 7th (Safeway),CHEMAWA RD NE & RIVER RD N,44.996791,-123.023978,,,,,,0
77,Hyac25SB,Hyacinth @ 25th,HYACINTH ST NE & 25TH AV NE,44.980417,-123.000251,,,,,,0
78,StaLanOB,State @ Lancaster (Eastbound),STATE ST & LANCASTER DR SE,44.927808,-122.98263,,,,,,0
85,Stat14IB,State @ 14th,STATE ST & 14TH ST NE,44.936351,-123.024021,,,,,,0
86,17MarkOB,17th @ Market,17TH ST NE & MARKET ST NE,44.948681,-123.013487,,,,,,0
105,LancSMHP,Lancaster @ Sundial MHP,2200 LANCASTER DR SE & UNNAMED ST,44.906639,-122.977405,,,,,,0
106,MCCF,Marion Co. Correctional Facility,AUMSVILLE HW SE & JOSEPH ST SE,44.894989,-122.96162,,,,,,0
107,LanCarNB,Lancaster @ Carson,LANCASTER DR SE & CARSON DR SE,44.910019,-122.97848,,,,,,0
109,WinBelOB,Winter @ Belmont,WINTER ST NE & E ST NE,44.948916,-123.026912,,,,,,0
113,BroSurIB,Brown @ Surfwood (North Entrance),BROWN RD NE & ARIZONA AV NE,44.967261,-122.970745,,,,,,0
114,WinBelIB,Winter @ Belmont,WINTER ST NE & BELMONT ST NE,44.94905,-123.027026,,,,,,0
128,CourCapi,Court @ Capitol,COURT ST NE & WINTER ST NE,44.938806,-123.028874,,,,,,0
130,MisUniOB,Mission @ University,MISSION ST SE & UNIVERSITY ST SE,44.930379,-123.032038,,,,,,0
131,Miss23rd,Mission @ 23rd,23RD ST SE & MISSION ST SE,44.923969,-123.013979,,,,,,0
137,BaxtComm,Baxter @ Commercial,BAXTER RD SE & COMMERCIAL ST SE,44.877629,-123.026058,,,,,,0
146,HayNanNB,Hayesville @ Nandale,HAYESVILLE DR NE & NANDALE DR NE,44.989795,-122.986254,,,,,,0
147,KaleHapp,Kale @ Happy,KALE ST NE & HAPPY DR NE,44.997079,-122.975583,,,,,,0
148,FuhBohIB,Fuhrer @ Bohannon,FUHRER ST NE & BOHANNON ST NE,44.990378,-122.962421,,,,,,0
152,DSt14IB,D St @ 14th,D ST NE & 14TH ST NE,44.945123,-123.019515,,,,,,0
156,LanFMSB,Lancaster @ Cypress (Fred Meyer),LANCASTER DR NE & CYPRESS ST NE,44.948477,-122.983844,,,,,,0
159,RoyCenIB,Royalty @ Center,ROYALTY DR NE & CENTER ST NE,44.939727,-122.96681,,,,,,0
163,DelSKT_W,Del Webb @ Salem Industrial,DEL WEBB AV NE & STATE ST,44.970121,-123.017328,,,,,,0
167,WinOakIB,Winter @ Oak (Salem Hospital),WINTER ST SE & MISSION ST SE,44.933452,-123.034639,,,,,,0
170,LibMadIB,Liberty @ Madrona,LIBERTY RD S & MADRONA AV S,44.904206,-123.050595,,,,,,0
173,LibFerIB,Liberty @ Ferry,LIBERTY ST SE & FERRY ST SE,44.938864,-123.039299,,,,,,0
175,HigDivIB,High @ Division,HIGH ST NE & DIVISION ST NE,44.946319,-123.033891,,,,,,0
176,RiveChem,River Rd @ Chemawa,RIVER RD N & CHEMAWA RD N,44.997179,-123.026707,,,,,,0
177,BroFMIB,Broadway @ Fred Meyer (west side),,44.968938,-123.028715,,,,,,0
178,BatBooOB,Battle Creek @ Boone,BATTLE CREEK RD SE & KUEBLER BV SE,44.883085,-123.011859,,,,,,0
182,EdgKinIB,Edgewater @ Kingwood,EDGEWATER ST NW & EB ROSEMONT AV RP,44.939711,-123.060294,,,,,,0
184,LanStaNB,Lancaster @ State,LANCASTER DR SE & LA BRANCH ST SE,44.927712,-122.983338,,,,,,0
192,Miss23IB,Mission @ 23rd,MISSION ST SE & 23RD ST SE,44.924212,-123.01373,,,,,,0
200,17MarIB,17th @ Market,17TH ST NE & MARKET ST NE,44.948726,-123.013575,,,,,,0
202,StaLanIB,State @ Lancaster (Westbound),STATE ST & LANCASTER DR NE,44.92808,-122.984109,,,,,,0
203,Mark17IB,Market @ 17th,MARKET ST NE & 17TH ST NE,44.948837,-123.013168,,,,,,0
204,Mark17OB,Market @ 17th,MARKET ST NE & 17TH ST NE,44.948632,-123.013812,,,,,,0
206,DelSKT_E,Del Webb @ Salem Industrial,DEL WEBB AV NE & VAN NESS AV NE,44.970517,-123.017366,,,,,,0
207,Stat17OB,State @ 17th,STATE ST & 17TH ST NE,44.935211,-123.020561,,,,,,0
211,ComFMIB,Commercial @ Madrona (Fred Meyer),COMMERCIAL ST SE & OAKHILL AV SE,44.905832,-123.042423,,,,,,0
213,MadComSE,Madrona @ Commercial,MADRONA AV SE & COMMERCIAL ST SE,44.904754,-123.040584,,,,,,0
214,Stat14OB,State @ 14th,STATE ST & 14TH ST NE,44.936265,-123.02458,,,,,,0
223,NE_P&R,Market Street Park and Ride,NE PARK & RIDE,44.951705,-122.99289,,,,,,0
227,SumMarSW,Summer @ Marion,SUMMER ST NE & MARION ST NE,44.942239,-123.028638,,,,,,0
230,ComWMIB,Commercial @ Baxter (Walmart),COMMERCIAL ST SE & BAXTER RD SE,44.878412,-123.027966,,,,,,0
231,ComRiAIB,Commercial @ Keglers (Rite Aid),COMMERCIAL ST SE & HILFIKER LN SE,44.888977,-123.033874,,,,,,0
254,8thGerOB,8th @ Gerth,8TH ST NW & MCNARY AV NW,44.946036,-123.061718,,,,,,0
261,EolKinIB,Eola @ Kingwood,EOLA DR NW & FLYING SQUIRREL WY NW,44.939116,-123.070689,,,,,,0
264,CapMari,Capitol @ Marion,CAPITOL ST NE & MARION ST NE,44.941718,-123.026836,,,,,,0
266,ComMis,Commercial @ Mission,COMMERCIAL ST SE & MISSION ST S,44.93337,-123.043951,,,,,,0
268,ComMyeOB,Commercial @ Myers,COMMERCIAL ST SE & WILSON ST SE,44.927251,-123.04433,,,,,,0
269,ComWasOB,Commercial @ Washington,COMMERCIAL ST SE & WASHINGTON ST SE,44.924232,-123.044532,,,,,,0
270,ComHoyOB,Commercial @ Hoyt,COMMERCIAL ST SE & HOYT ST S,44.919183,-123.044835,,,,,,0
277,OrcDoaIB,Orchard Heights @ Doaks Ferry,ORCHARD HEIGHTS RD NW,44.960318,-123.078503,,,,,,0
286,BruWilOB,Brush College @ Wilark,BRUSH COLLEGE RD NW & WILARK DR NW,44.971238,-123.073154,,,,,,0
287,DoaGibIB,Doaks Ferry @ Gibsonwoods,DOAKS FERRY RD NW & GIBSONWOODS CT NW,44.969098,-123.078116,,,,,,0
290,CapiDSt.,Capitol @ D St,CAPITOL ST NE & D ST NE,44.946013,-123.024615,,,,,,0
298,LanDStNB,Lancaster @ D St,LANCASTER DR NE & D ST NE,44.943795,-122.98334,,,,,,0
299,LanWeaNB,Lancaster @ Weathers,LANCASTER DR NE & ANITA DR NE,44.946087,-122.983498,,,,,,0
300,LanCypNB,Lancaster @ Cypress,LANCASTER DR NE & CYPRESS ST NE,44.947794,-122.983642,,,,,,0
301,LancSunn,Lancaster @ Sunnyview,LANCASTER DR NE & SUNNYVIEW RD NE,44.952924,-122.983625,,,,,,0
303,LanWolNB,Lancaster @ Wolverine,2400 LANCASTER DR NE & WOLVERINE ST NE,44.957947,-122.983546,,,,,,0
304,LanBevNB,Lancaster @ Beverly,LANCASTER DR NE & BEVERLY AV NE,44.961092,-122.983531,,,,,,0
308,LanSatNB,Lancaster @ Satter,LANCASTER DR NE & UNNAMED ST,44.979228,-122.983177,,,,,,0
309,LanWarNB,Lancaster @ Ward,LANCASTER DR NE & WARD DR NE,44.983027,-122.983211,,,,,,0
310,LanJadNB,Lancaster @ Jade,LANCASTER DR NE & NORTH NEWCASTLE CR NE,44.985885,-122.983146,,,,,,0
315,KalPorOB,Kale @ Portland Rd,KALE ST NE & PORTLAND RD NE,44.997143,-122.980027,,,,,,0
316,HapGerIB,Happy @ Geranium,HAPPY DR NE & GERANIUM AV NE,44.993197,-122.97584,,,,,,0
317,HapHayIB,Happy @ Hayesville,HAPPY DR NE & HAYESVILLE DR NE,44.990079,-122.975995,,,,,,0
318,HayHarIB,Hayesville @ Harlan,HAYESVILLE DR NE & HARLAN DR NE,44.990086,-122.971017,,,,,,0
319,HayJanIB,Hayesville @ Janice,HAYESVILLE DR NE & PATRICIA ST NE,44.990084,-122.966472,,,,,,0
320,FuhWBP,Fuhrer @ WB Post,FUHRER ST NE & BOHANNON ST NE,44.988072,-122.962696,,,,,,0
321,FuhJadIB,Fuhrer @ Jade,FUHRER ST NE & JANICE AV NE,44.986182,-122.962869,,,,,,0
332,CapMadOB,Capitol @ Madison,CAPITOL ST NE & MADISON ST NE,44.95401,-123.020744,,,,,,0
334,FaiSunOB,Fairgrounds @ Sunnyview,FAIRGROUNDS RD NE & ACADEMY ST NE,44.95658,-123.019881,,,,,,0
339,WallOrch,Wallace @ Orchard Hts,WALLACE RD NW & ORCHARD HEIGHTS RD NW,44.954529,-123.052762,,,,,,0
340,WalHopOB,Wallace @ Hope,WALLACE RD NW & HOPE AV NW,44.958779,-123.053944,,,,,,0
341,WalEmpOB,Wallace @ Empire,WALLACE RD NW & EMPIRE ST NW,44.961053,-123.054859,,,,,,0
342,WalHarOB,Wallace @ Harritt,WALLACE RD NW & HARRITT DR NW,44.964401,-123.056837,,,,,,0
366,Tay5thIB,Taybin @ 5th,TAYBIN RD NW & 5TH AV NW,44.95187,-123.050465,,,,,,0
373,PorHyaOB,Portland Rd @ Hyacinth,PORTLAND RD NE & HYACINTH ST NE,44.979455,-122.996899,,,,,,0
374,Port4646,4646 Portland Rd,PORTLAND RD NE & ASTORIA ST NE,44.987864,-122.98929,,,,,,0
375,PorHaySB,Portland Rd @ Hayesville,PORTLAND RD NE & HAYESVILLE DR NE,44.989813,-122.987587,,,,,,0
377,UniHigOB,Union @ High,UNION ST NE & HIGH ST NE,44.945088,-123.034081,,,,,,0
379,HigWilOB,High @ Willow,HIGH ST NE & WILLOW ST NE,44.947289,-123.033231,,,,,,0
380,BroBelOB,Broadway @ Belmont,BROADWAY ST NE & E ST NE,44.950098,-123.031829,,,,,,0
381,BroShiOB,Broadway @ Shipping,BROADWAY ST NE & SHIPPING ST NE,44.953491,-123.03013,,,,,,0
382,BroMadOB,Broadway @ Madison,BROADWAY ST NE & MADISON ST NE,44.956122,-123.028828,,,,,,0
383,BroAcaOB,Broadway @ Academy,BROADWAY ST NE & ACADEMY ST NE,44.958765,-123.028525,,,,,,0
388,CheHicOB,Cherry @ Hickory,CHERRY AV NE & HICKORY ST NE,44.963328,-123.019334,,,,,,0
392,ChePlyOB,Cherry @ Plymouth,CHERRY AV NE & PLYMOUTH DR NE,44.974731,-123.021541,,,,,,0
393,CheCanOB,Cherry @ Candlewood,3640 CHERRY AV NE & CADE AV NE,44.978011,-123.022557,,,,,,0
401,VerdChem,Verda @ Chemawa,VERDA LN NE & CHEMAWA RD NE,44.997502,-123.012472,,,,,,0
405,LockKlic,Lockhaven @ Klicitat,LOCKHAVEN DR NE & KLICITAT DR NE,45.005974,-123.00995,,,,,,0
406,CheModEB,Chemawa @ Modoc,CHEMAWA RD NE & MCLEOD LN NE,45.003953,-123.006197,,,,,,0
407,CheSprIB,Chemawa @ Springtime,CHEMAWA RD NE & SPRINGTIME CT NE,45.001653,-123.009588,,,,,,0
417,ChePlyIB,Cherry @ Plymouth,CHERRY AV NE & PLYMOUTH DR NE,44.974543,-123.02163,,,,,,0
419,CheWeeIB,Cherry @ Weeks,CHERRY AV NE & CANDLEWOOD DR NE,44.977149,-123.022442,,,,,,0
424,BroShiIB,Broadway @ Shipping,BROADWAY ST NE & NORWAY ST NE,44.953723,-123.030186,,,,,,0
425,BroGaiIB,Broadway @ Gaines,BROADWAY ST NE & MARKET ST NE,44.951827,-123.031201,,,,,,0
427,BroColIB,Broadway @ Columbia,BROADWAY ST NE & COLUMBIA ST NE,44.959067,-123.028795,,,,,,0
428,BroJefIB,Broadway @ Jefferson,BROADWAY ST NE & JEFFERSON ST NE,44.955506,-123.029349,,,,,,0
430,PortHaye,Portland Rd @ Hayesville,4685 PORTLAND RD NE & HAYESVILLE DR NE,44.989436,-122.988108,,,,,,0
431,PortAsto,Portland Rd @ Astoria,PORTLAND RD NE & ASTORIA ST NE,44.98688,-122.990526,,,,,,0
432,PortHyac,Portland Rd @ Hyacinth,PORTLAND RD NE & ASTORIA ST NE,44.97908,-122.997538,,,,,,0
438,SilHigIB,Silverton Rd @ Highway Ave,SILVERTON RD NE & DUNCAN AV NE,44.965024,-123.003864,,,,,,0
440,PorLanIB,Portland Rd @ Lana,PORTLAND RD NE & LANA AV NE,44.966607,-123.009319,,,,,,0
443,SumMadIB,Summer @ Madison,SUMMER ST NE & MADISON ST NE,44.954639,-123.022419,,,,,,0
444,SumNorIB,Summer @ Norway,SUMMER ST NE & JEFFERSON ST NE,44.952923,-123.02327,,,,,,0
445,SumHooIB,Summer @ Hood,SUMMER ST NE & HOOD ST NE,44.951216,-123.024133,,,,,,0
446,SumDStIB,Summer @ D St,SUMMER ST NE & D ST NE,44.946777,-123.026354,,,,,,0
447,SumUniIB,Summer @ Union,SUMMER ST NE & D ST NE,44.943533,-123.027965,,,,,,0
